GUJARAT MANDI'S MARKET,Latitude,Longitude,District
Ahmedabad,23.0225,72.5714,Ahmedabad
Bavla,22.838,72.3696,Ahmedabad
Mandal,23.3293,72.4273,Ahmedabad
Ahmedabad (Chimanbhai Patel Market Vasna),23.0092,72.5552,Ahmedabad
Dhandhuka,22.3819,71.985,Ahmedabad
Rampura,22.444,72.107,Ahmedabad
"Ahmedabad (Fruit Market, Naroda)",23.0725,72.6603,Ahmedabad
Dhandkuka (Dholera),22.2488,72.1954,Ahmedabad
Ranpur,22.3751,71.3037,Botad
Ahmedabad (Manekchowk),23.0258,72.5873,Ahmedabad
Dholka,22.7196,72.4412,Ahmedabad
Sanand,22.9913,72.3818,Ahmedabad
Ahmedabad (Rajnagar sub yard),23.0202,72.5797,Ahmedabad
Barvala,22.2007,71.874,Botad
Dholka (Koth),22.7196,72.4412,Ahmedabad
Dholka (Market Yard Veg),22.7205,72.4425,Ahmedabad
Viramgam,23.1256,72.0527,Ahmedabad
Amreli,21.6,71.2167,Amreli
Babra,21.85,71.3,Amreli
Dhari,21.33,71.02,Amreli
Dhari (Chalala),21.407,71.1664,Amreli
Rajula,21.0481,71.4439,Amreli
Savarkundla,21.3376,71.3031,Amreli
Bagasara,21.4882,71.7544,Amreli
Khambha,20.85,71.25,Amreli
Timbi,20.9327,71.3426,Amreli
Damnagar,21.6923,71.5154,Amreli
Lathi,21.7175,71.3887,Amreli
Anand,22.5645,72.9289,Anand
Anand (Veg Yard Anand),22.5665,72.9342,Anand
Borsad,22.407,72.8987,Anand
Borsad (Veg Yard Barsad),22.4072,72.8991,Anand
Borsad (Asodar),22.4323,72.8531,Anand
Petlad,22.47,72.8,Anand
Petlad (Veg Yard Petlad),22.471,72.8015,Anand
Khambhat,22.3181,72.619,Anand
Khambhat (Grain Market),22.3169,72.6185,Anand
Khambhat (Veg Yard Khambhat),22.3175,72.6188,Anand
Sojitra,22.5387,72.7193,Anand
Anklav,22.3073,73.014,Anand
Tarapur,22.4296,72.6762,Anand
Umreth,22.6982,73.1155,Anand
Ahmedabad (Flower Market Jamalpur),23.0172,72.5826,Ahmedabad
Amirgadh,24.1226,72.5553,Banaskantha
Bhabhar,23.0252,71.5251,Banaskantha
Dhanera,24.5075,71.9902,Banaskantha
Dhanera (Samarwada),24.534,72.0002,Banaskantha
Dhanera (Veg Yard Dhanera),24.5091,71.9921,Banaskantha
Panthawada,24.1503,72.5842,Banaskantha
Thara,24.202,71.576,Banaskantha
Thara (Shihori),24.1965,71.6083,Banaskantha
Danta,24.2375,72.7544,Banaskantha
Deesa,24.2583,72.1884,Banaskantha
Deesa (Bhildi),24.2732,72.0417,Banaskantha
Deesa (Deesa Veg Yard),24.2601,72.1867,Banaskantha
Diyodar,24.3303,71.4822,Banaskantha
Lakhani,24.2589,72.0289,Banaskantha
Palanpur,24.1724,72.4384,Banaskantha
Palanpur (Veg Yard Palanpur),24.174,72.44,Banaskantha
Tharad,24.3962,71.6251,Banaskantha
Tharad (Rah),24.391,71.6353,Banaskantha
Vadgam,24.0369,72.56,Banaskantha
Vav,24.2187,71.891,Banaskantha
Amod,21.9832,72.8705,Bharuch
Ankleshwar,21.64,72.9941,Bharuch
Baruch (Vagara),21.85,72.8167,Bharuch
Bharuch,21.7051,72.9959,Bharuch
Hasot,21.776,72.8866,Bharuch
Hasot (Elav),21.7735,72.8804,Bharuch
Jambusar,22.053,72.8007,Bharuch
Jambusar (Kaavi),22.105,72.7158,Bharuch
Jhagadiya,21.6787,73.151,Bharuch
Valia,21.7612,73.2045,Bharuch
Valia (Nethrang),21.6462,73.1401,Bharuch
Bhavnagar,21.7645,72.1519,Bhavnagar
Mahuva (Station Road),21.0964,71.7707,Bhavnagar
Taleja,21.2702,71.99,Bhavnagar
Gariyadar,21.0907,71.634,Bhavnagar
Palitana,21.5253,71.8342,Bhavnagar
Botad,22.1692,71.6666,Botad
Botad (Haddad),22.08,71.6167,Botad
Botad (Bhabarkot),22.155,71.662,Botad
Gadada,21.9716,71.7758,Botad
Bodeli,22.4075,73.7157,Chhota Udepur
Jetpur-Pavi,22.3833,73.65,Chhota Udepur
