cached_date,state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
2026-05-23,Gujarat,Banaskanth,Vadgam APMC,Maize,Deshi Red,FAQ,23/05/2026,2105,2105,2105
2026-05-23,Gujarat,Gandhinagar,Kalol APMC,Wheat,Other,Local,23/05/2026,2275,2425,2350
2026-05-23,Gujarat,Gandhinagar,Kalol APMC,Guar Seed(Cluster Beans Seed),Other,Local,23/05/2026,5500,5500,5500
2026-05-23,Gujarat,Dahod,Devgadhbaria APMC,Paddy(Common),Common,Non-FAQ,23/05/2026,1265,1330,1295
2026-05-23,Gujarat,Sabarkantha,Bhiloda APMC,Castor Seed,Other,Local,23/05/2026,6150,6350,6250
2026-05-23,Gujarat,Surat,Songadh APMC,Guar,Gwar,FAQ,23/05/2026,5000,5000,5000
2026-05-23,Gujarat,Sabarkantha,Vadali APMC,Maize,Other,Non-FAQ,23/05/2026,2000,2090,2045
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Bhindi(Ladies Finger),Bhindi,Local,23/05/2026,1000,2500,2000
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Bottle gourd,Bottle Gourd,Local,23/05/2026,1000,1500,1200
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Brinjal,Brinjal,Local,23/05/2026,800,2500,2000
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Mint(Pudina),Mint(Pudina),Local,23/05/2026,2000,3000,2500
2026-05-23,Gujarat,Dahod,Dahod(Veg. Market) APMC,Pumpkin,Pumpkin,Local,23/05/2026,1000,1500,1200
2026-05-23,Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Brinjal,Brinjal,Grade B,23/05/2026,1500,2000,1750
2026-05-23,Gujarat,Chhota Udaipur,Hadad     APMC,Cotton,Shanker 6 (B) 30mm FIne,FAQ,23/05/2026,7700,8500,8100
2026-05-23,Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Cauliflower,Cauliflower,Local,23/05/2026,2000,2500,2000
2026-05-23,Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Cabbage,Other,Local,23/05/2026,900,1000,900
2026-05-23,Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Green Chilli,Other,Local,23/05/2026,2500,2500,2500
2026-05-23,Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Cucumbar(Kheera),Other,Local,23/05/2026,1500,2500,2000
2026-05-23,Gujarat,Sabarkantha,Modasa(Tintoi) APMC,Bajra(Pearl Millet/Cumbu),Hybrid,Non-FAQ,23/05/2026,2175,2365,2365
2026-05-23,Gujarat,Sabarkantha,Modasa(Tintoi) APMC,Maize,Hybrid Red (Cattle Feed),Non-FAQ,23/05/2026,2025,2075,2075
2026-05-23,Gujarat,Dahod,Davgadbaria(Piplod) APMC,Paddy(Common),Common,Non-FAQ,23/05/2026,1260,1315,1275
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Tomato,Other,FAQ,23/05/2026,1000,2850,1925
2026-05-23,Gujarat,Banaskanth,Deesa(Deesa Veg Yard) APMC,Cabbage,Other,FAQ,23/05/2026,500,1450,975
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Ground Nut Seed,Ground Nut Seed,FAQ,23/05/2026,8150,9900,9550
2026-05-23,Gujarat,Rajkot,Rajkot APMC,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,23/05/2026,10250,12505,11400
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Cotton,Narma BT Cotton,FAQ,23/05/2026,8550,9700,9300
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,23/05/2026,1250,2300,1800
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Mustard,Mustard,FAQ,23/05/2026,6050,7025,6750
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Soyabean,Soyabeen,FAQ,23/05/2026,6900,7825,7250
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),FAQ,23/05/2026,5800,8125,6900
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Green Gram(Moong)(Whole),Green (Whole),FAQ,23/05/2026,6500,9250,8325
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Methi Seeds,Methiseeds,FAQ,23/05/2026,5850,9850,7550
2026-05-23,Gujarat,Rajkot,Rajkot APMC,Garlic,Garlic,FAQ,23/05/2026,4600,7700,6250
2026-05-23,Gujarat,Amreli,Rajula APMC,Bajra(Pearl Millet/Cumbu),Local,Local,23/05/2026,1660,2685,2173
2026-05-23,Gujarat,Amreli,Rajula APMC,Maize,Other,Local,23/05/2026,2005,2005,2005
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Bottle gourd,Bottle Gourd,Medium,23/05/2026,1000,1500,1250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Cucumbar(Kheera),Cucumbar,Medium,23/05/2026,2000,2500,2250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Drumstick,Drumstick,Medium,23/05/2026,2000,2500,2250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Green Chilli,Green Chilly,Medium,23/05/2026,2500,3500,3000
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Peas Wet,Peas Wet,Medium,23/05/2026,7500,9000,8250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Lemon,Lemon,Local,23/05/2026,6000,6500,6250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Tomato,Hybrid,Medium,23/05/2026,2000,2500,2250
2026-05-23,Gujarat,Surendranagar,Vadhvan APMC,Spinach,Spinach,Local,23/05/2026,500,1000,750
2026-05-23,Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Mango,Keshar,Local,23/05/2026,4000,9000,6500
2026-05-23,Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Brinjal,Brinjal,Local,23/05/2026,100,1500,800
2026-05-23,Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Bitter gourd,Bitter Gourd,Local,23/05/2026,1000,3000,2000
2026-05-23,Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Lemon,Other,Local,23/05/2026,1000,10000,5500
2026-05-23,Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Potato,Potato,Local,23/05/2026,800,1300,1050
2026-05-23,Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Tomato,Tomato,Local,23/05/2026,1000,3500,2250
2026-05-23,Gujarat,Bhavnagar,Taleja APMC,Bajra(Pearl Millet/Cumbu),Local,FAQ,23/05/2026,1580,2680,2130
2026-05-23,Gujarat,Surat,Surat APMC,Capsicum,Other,FAQ,23/05/2026,2000,3000,2500
2026-05-23,Gujarat,Surat,Surat APMC,Green Chilli,Green Chilly,FAQ,23/05/2026,2500,5500,4000
2026-05-23,Gujarat,Surat,Surat APMC,Groundnut pods(raw),Other,FAQ,23/05/2026,3500,5000,4250
2026-05-23,Gujarat,Surat,Surat APMC,Pumpkin,Other,FAQ,23/05/2026,800,2000,1400
2026-05-23,Gujarat,Surat,Surat APMC,Turmeric(raw),Other,FAQ,23/05/2026,1500,5000,3250
2026-05-23,Gujarat,Surat,Surat APMC,Tomato,Other,FAQ,23/05/2026,700,2900,1800
2026-05-23,Gujarat,Patan,Sami APMC,Ajwan,Ajwan,Local,23/05/2026,10000,12250,12000
2026-05-23,Gujarat,Navsari,Bilimora APMC,Bottle gourd,Other,FAQ,23/05/2026,1500,2000,1600
2026-05-23,Gujarat,Patan,Siddhpur APMC,Soanf,Soanf,FAQ,23/05/2026,6000,6535,6267
2026-05-23,Gujarat,Patan,Siddhpur APMC,Mustard,Mustard,FAQ,23/05/2026,6500,7175,6837
2026-05-23,Gujarat,Patan,Siddhpur APMC,Guar Seed(Cluster Beans Seed),Whole,FAQ,23/05/2026,4900,5300,5100
2026-05-23,Gujarat,Patan,Siddhpur APMC,Wheat,Hybrid,FAQ,23/05/2026,2250,2350,2300
2026-05-23,Gujarat,Patan,Siddhpur APMC,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,23/05/2026,2300,2550,2425
2026-05-23,Gujarat,Rajkot,Jetpur(Dist.Rajkot) APMC,Groundnut,Other,FAQ,23/05/2026,4255,7630,6375
2026-05-23,Gujarat,Rajkot,Jetpur(Dist.Rajkot) APMC,"Sesamum(Sesame,Gingelly,Til)",Sesame,FAQ,23/05/2026,9355,11630,10355
2026-05-23,Gujarat,Morbi,Vankaner APMC,Cotton,Other,FAQ,23/05/2026,6250,9500,8250
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Leafy Vegetable,Leafy Vegetables,FAQ,23/05/2026,2000,2500,2250
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Little gourd(Kundru),Other,FAQ,23/05/2026,700,2500,1600
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Tomato,Other,FAQ,23/05/2026,2000,2500,2250
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Cluster beans,Other,FAQ,23/05/2026,2500,3500,3000
2026-05-23,Gujarat,Vadodara(Baroda),Padra APMC,Ginger(Green),Other,FAQ,23/05/2026,6500,7000,6750
2026-05-23,Gujarat,Mehsana,Visnagar APMC,Bajra(Pearl Millet/Cumbu),Other,Local,23/05/2026,1750,2440,2095
2026-05-23,Gujarat,Mehsana,Visnagar APMC,Guar Seed(Cluster Beans Seed),Other,Local,23/05/2026,4850,5500,5175
2026-05-23,Gujarat,Dahod,Dahod APMC,Bajra(Pearl Millet/Cumbu),Other,Local,23/05/2026,1900,2100,2025
2026-05-23,Gujarat,Rajkot,Rajkot(Veg.Sub Yard) APMC,Brinjal,Brinjal,FAQ,23/05/2026,925,1520,1220
2026-05-23,Gujarat,Rajkot,Rajkot(Veg.Sub Yard) APMC,Lemon,Lemon,FAQ,23/05/2026,4535,9225,6880
2026-05-23,Gujarat,Rajkot,Rajkot(Veg.Sub Yard) APMC,Ginger(Green),Green Ginger,FAQ,23/05/2026,7215,8575,7875
2026-05-23,Gujarat,Amreli,Amreli APMC,Jowar(Sorghum),Other,FAQ,23/05/2026,2025,4375,4000
2026-05-23,Gujarat,Amreli,Amreli APMC,Groundnut(Split),Groundnut(Split),FAQ,23/05/2026,6000,9175,8675
2026-05-23,Gujarat,Amreli,Amreli APMC,Methi Seeds,Methiseeds,FAQ,23/05/2026,5500,6375,6125
2026-05-23,Gujarat,Ahmedabad,Sanad APMC,Paddy(Common),Other,FAQ,23/05/2026,2373,2373,2373
2026-05-23,Gujarat,Mehsana,Unava APMC,Castor Seed,Other,FAQ,23/05/2026,6255,6570,6550
